popDensity,unemployRate,medianAge,percentOfPopOver65,medianWorkerEarning,percentOfPopWithBADegreeOrHigher,percentOfPop_passedHighSchool,percentOfPopInEducation,percentOfPopInSciOrEngineering,percentOfPop_WhitePlus,percentOfPop_Black,percentOfPop_AsianPlus,percentOfPop_Other
22671.38,0.50,36.90,18.15,40932.00,33.80,80.78,2.42,14.57,45.10,25.90,15.20,21.10
4204.64,1.00,29.10,13.25,26290.00,11.61,71.20,1.72,4.65,41.70,29.30,2.00,39.50
796.95,1.00,39.30,23.89,26952.00,13.92,79.42,2.36,5.61,70.60,26.70,2.40,6.50
1143.02,0.50,38.40,21.07,26965.00,16.68,79.15,2.62,6.48,64.40,27.50,1.00,16.10
393.26,0.00,26.90,17.14,40956.00,18.57,73.21,8.93,6.43,70.70,1.10,0.00,31.40
2191.07,0.00,30.70,7.17,45921.00,25.79,93.11,6.15,9.78,97.10,0.00,0.00,4.30
3757.27,1.00,36.30,17.66,25708.00,14.33,78.11,1.48,5.92,43.30,52.60,3.00,10.30
1062.87,0.50,37.10,21.47,27283.00,9.61,82.90,2.51,3.82,94.40,6.70,1.80,4.80
667.70,0.50,32.50,17.14,31840.00,17.37,84.39,2.83,7.57,86.20,4.60,1.50,27.00
783.66,0.50,34.90,20.77,27934.00,8.89,80.52,2.97,2.79,87.20,6.10,1.20,15.70
3687.90,0.50,37.60,16.29,40331.00,46.11,93.05,2.50,21.44,82.10,7.40,10.40,11.60
3108.90,1.00,36.00,17.00,26252.00,14.18,84.82,1.61,6.72,92.10,1.70,3.50,14.60
1850.33,1.00,38.70,20.25,26759.00,11.13,87.80,3.31,4.31,63.80,37.50,0.40,2.40
2455.48,0.00,37.60,20.40,25995.00,16.68,83.60,2.68,6.09,86.90,8.30,5.80,6.50
11209.30,1.00,30.40,9.45,20856.00,6.40,62.99,0.86,3.31,57.30,16.40,1.90,36.40
1897.54,0.00,35.60,19.81,33825.00,44.02,92.24,3.70,18.70,87.20,9.80,2.40,10.00
111.97,0.00,53.60,35.29,20393.00,33.70,87.49,6.67,12.45,75.10,20.80,2.50,4.50
1156.51,1.00,36.60,22.24,25651.00,17.27,82.91,3.12,4.81,15.90,81.70,2.40,0.00
987.62,0.00,49.50,41.36,32132.00,6.69,77.72,1.81,1.95,99.30,0.30,0.70,0.30
1157.32,0.00,36.70,20.86,31250.00,17.34,87.56,6.27,5.67,96.70,1.80,0.00,2.90
194.96,0.00,48.40,22.47,36658.00,34.33,88.18,3.01,16.79,92.20,6.70,1.90,1.90
224.81,0.50,45.80,25.08,30057.00,8.31,83.54,0.94,4.08,98.20,1.80,0.00,0.80
1825.30,0.50,32.20,24.15,25787.00,10.98,66.22,3.49,4.26,96.50,0.40,0.00,3.70
2631.88,0.50,33.30,14.16,31594.00,29.24,79.02,1.94,11.92,64.50,25.30,4.00,11.50
1328.83,0.00,27.00,13.74,40329.00,46.00,89.73,5.87,17.20,95.60,0.60,3.20,6.50
240.28,0.50,39.20,26.13,26247.00,15.93,89.03,3.38,6.19,95.80,1.30,1.40,4.70
475.95,0.50,40.00,22.80,30278.00,15.86,81.16,3.80,6.53,99.00,1.80,0.00,5.30
