popDensity,unemployRate,medianAge,percentOfPopOver65,medianWorkerEarning,percentOfPopWithBADegreeOrHigher,percentOfPop_passedHighSchool,percentOfPopInEducation,percentOfPopInSciOrEngineering,percentOfPop_WhitePlus,percentOfPop_Black,percentOfPop_AsianPlus,percentOfPop_Other
4214.23,1.00,37.20,13.70,31149.00,14.38,77.85,1.65,6.19,78.90,11.80,6.70,11.40
424.66,0.50,39.10,17.50,21298.00,8.90,77.69,2.42,1.65,41.30,58.20,0.00,3.30
602.89,1.00,38.70,14.80,30929.00,17.65,81.97,8.05,5.03,84.50,13.20,1.80,2.30
693.38,0.00,56.20,30.60,47094.00,65.93,97.85,6.89,30.67,97.10,0.30,3.60,4.70
1176.48,1.00,29.90,14.00,18075.00,19.60,86.66,5.21,7.64,23.00,75.80,0.60,5.40
251.37,0.00,50.30,27.10,20795.00,16.39,80.87,7.65,5.19,55.80,0.20,0.00,54.20
895.64,0.00,50.80,32.60,26250.00,28.34,91.82,5.99,8.38,93.20,0.00,0.00,11.00
253.91,1.00,26.70,10.70,30625.00,10.82,90.21,2.58,5.67,92.10,0.00,0.00,7.90
150.21,0.00,40.60,19.40,30398.00,12.28,84.27,1.94,3.23,99.10,0.20,0.70,8.00
439.93,0.00,44.20,18.60,71133.00,73.15,95.14,6.88,27.19,96.30,0.60,2.60,1.30
1027.68,1.00,31.50,7.20,32019.00,17.15,80.80,2.49,6.96,68.00,24.50,2.70,11.10
776.41,1.00,30.00,14.70,23011.00,22.20,87.75,4.16,9.74,92.50,5.00,2.50,4.70
851.52,0.50,33.10,12.20,24819.00,9.62,75.26,2.44,3.29,75.20,18.00,0.10,16.30
1407.43,1.00,32.70,13.20,26912.00,13.77,71.32,3.14,6.21,68.20,15.70,0.70,22.30
472.55,1.00,29.80,14.60,24423.00,6.35,76.56,3.07,1.13,90.50,1.70,0.00,7.80
299.37,0.50,36.10,14.90,29500.00,6.78,78.39,1.20,1.91,84.90,12.50,0.60,6.20
935.59,0.50,33.40,14.90,32150.00,7.03,60.68,3.12,2.13,92.50,6.00,0.00,7.50
1022.69,0.00,31.40,7.90,39737.00,21.84,87.20,3.22,9.53,89.00,0.50,4.90,13.00
456.62,0.50,33.70,11.70,25804.00,12.54,88.74,2.25,3.62,99.00,0.00,0.10,0.80
184.78,0.50,30.40,8.60,38333.00,20.21,86.99,2.99,8.28,95.30,0.60,2.30,6.20
912.69,0.00,31.80,13.20,25894.00,14.50,85.97,2.85,5.73,95.80,0.10,0.30,11.00
89.22,0.50,35.10,12.60,34852.00,27.57,89.57,3.13,10.34,92.80,4.60,1.50,11.50
1767.34,0.50,41.40,18.20,33750.00,21.01,84.02,3.26,7.51,98.60,1.70,0.50,2.50
2439.90,0.00,27.10,11.70,19596.00,30.77,91.60,2.24,15.78,87.40,6.50,7.30,4.40
4145.31,0.50,31.90,11.10,31236.00,27.63,80.00,1.00,15.60,80.10,3.60,15.10,4.20
1780.43,1.00,40.30,20.50,31674.00,20.36,88.38,4.28,7.93,79.00,16.40,4.60,6.40
600.23,1.00,38.40,16.30,24857.00,11.64,74.04,1.79,3.63,29.40,72.70,0.30,7.00
2089.50,1.00,30.70,11.20,27410.00,21.20,86.47,2.13,9.86,50.30,44.20,4.80,9.70
1116.35,1.00,38.70,16.40,26245.00,15.49,80.09,2.60,5.81,19.00,78.40,1.40,5.20
1044.47,1.00,35.90,12.10,26217.00,7.95,78.73,0.96,3.70,89.30,2.60,1.90,16.00
299.89,0.50,52.90,33.30,37500.00,10.86,91.29,5.05,2.65,78.50,0.00,0.60,26.80
1730.19,1.00,37.50,19.60,24804.00,12.73,81.68,2.67,5.33,95.60,1.00,2.40,13.50
2685.91,1.00,22.00,5.50,10013.00,27.91,96.48,1.62,18.13,81.40,4.80,14.90,11.20
1023.35,0.50,49.60,25.10,17593.00,11.53,85.08,3.28,5.50,97.80,3.10,2.70,3.60
1834.00,1.00,51.20,25.40,27419.00,2.51,86.37,0.00,0.00,100.00,0.00,0.00,2.40
2684.08,1.00,24.60,10.00,14094.00,27.95,94.72,3.14,14.25,90.20,6.10,5.00,4.70
1337.02,0.00,50.10,27.30,38090.00,31.65,91.32,7.44,13.39,99.20,0.80,0.00,0.80
1162.54,0.00,35.60,16.60,39675.00,21.31,93.09,3.74,9.36,99.30,1.30,0.00,3.40
1591.74,0.00,37.80,14.20,35823.00,19.96,89.07,4.34,6.99,99.10,1.10,0.40,3.10
719.82,0.00,38.10,19.10,29815.00,12.70,89.74,2.95,4.98,97.80,3.20,0.00,2.30
885.48,0.50,37.00,15.60,31312.00,12.89,86.02,3.40,4.71,92.20,7.60,0.60,7.10
1122.20,0.00,37.60,18.50,33745.00,25.58,92.04,5.20,11.52,96.70,1.50,1.00,5.40
785.63,0.50,45.30,20.80,40876.00,29.07,95.03,10.68,14.22,90.90,1.20,0.00,10.00
846.95,0.50,37.00,16.10,28652.00,16.30,86.04,3.07,6.80,84.00,1.20,0.20,23.00
873.28,1.00,39.10,17.20,27275.00,17.35,81.22,5.95,5.75,91.30,1.70,0.00,15.40
